Tweet,Suicide,preprocess
making some lunch,Not Suicide post,making lunch
@Alexia You want his money.,Not Suicide post,money
@dizzyhrvy that crap took me forever to put together. iâm going to go sleep for DAYS,Potential Suicide post ,crap forever put sleep day
@jnaylor #kiwitweets Hey Jer! Since when did you start twittering?,Not Suicide post,hey jer start twittering
Trying out &quot;Delicious Library 2&quot; with mixed results The bar code thought I wanted to add a sport bra instead of a drill Cool app tho!,Not Suicide post,delicious library mixed result bar code thought wanted add sport bra drill cool application
"@ValenValdez Oh, that's good to hear. But is it over already? Or you'll continue it after the Holy week?",Not Suicide post,good hear continue holy week
@mcm180 u've got a list for fellow #hotties? You gonna have to share that one Amigo!,Not Suicide post,list fellow share amigo
"@jakepaul @jamescharles @LoganPaul Just because shane made a Series on you Doesnt mean people take you seriously, yâ¦ https://t.co/D5rA0nua0U",Potential Suicide post ,shane made series not people
time for some warsaw beer garden chilling,Not Suicide post,time warsaw beer garden chilling
I hate my life lmao I hope I die soon or sumn I'm too tired of everything,Potential Suicide post ,hate life laugh as hope die sumn tired
"Everything your lover does for you is for her survival, everything your mother does for you is for your survival.",Not Suicide post,lover survival mother survival
"There is a stray cat on campus that looks like Garfield. The students are always feeding him, so he is very fat. Like me.",Not Suicide post,stray cat campus garfield student feeding fat
is on the go...,Not Suicide post,
I have an awful habit of avoiding writing papers by watching Instagram live videos of the kids I used to nanny forâ¦ https://t.co/NpfZu06gwy,Potential Suicide post ,awful habit avoiding writing paper watching instagram live video kid nanny
@rivensky Haha. Well I have more but I don't have to do anything but file the rest away or delete them.,Not Suicide post,haha not file rest delete
@Turbizzle Goooooood hwo're you?,Not Suicide post,god
"@AkwesiQuan,,RT @animeesay: I want to say ill never be active again. Not quite sure, i dont have any reason to be on here anymore anyways bye everyone tâ¦",Potential Suicide post ,retweet active not not reason here anymore bye
Focus on opportunities more than you focus on money.,Not Suicide post,focus opportunity focus money
SOMEBODY PLEASE FUCKING KILL ME IM SO IN LOVE https://t.co/WbVmmKzDDh,Potential Suicide post ,fucking kill love
Iâm at the point of the semester where Iâm so tired of everything. I just want to roll over and die.,Potential Suicide post ,point semester tired roll die
"@sadegsi,ger/rus/eng,I want to die so much, I dont want to be here anymore",Potential Suicide post ,german rusian english die not here anymore
"And I hate the fact if it's true Dojae will do surgery, Dojae has to endure the pain alone :'( without Segye ð­ð­ð­ð­ aâ¦ https://t.co/B4hM6MjQRe",Potential Suicide post ,hate fact true dojae surgery dojae endure pain segye
"RT @Soulwhisperer3: When you're tired of living your life, all you can do is close your eyes and go to sleep...",Potential Suicide post ,retweet tired living life close eye sleep
i am going to kill myself right now i am sorry you are feeling so desperate,Potential Suicide post ,kill feeling desperate
"@earlydetection enjoy I just can't get into it this season, but happy to know that you're getting your groove on.",Not Suicide post,enjoy season happy groove
@JohnsHopkins Bloodstain on the carpet? Ready to gooo! http://short.to/3uqb,Not Suicide post,bloodstain carpet ready
Really fuckin want this portion of my life to be over.,Potential Suicide post ,fuckin portion life
I'm VERY VERY hungry! Don't anyone on my timeline dare to talk about food :@ Or I'll seriously eat you up!,Not Suicide post,hungry not timeline dare talk food eat
Mom always used to want everyone home before dark – as though anything was out there at night that wasn't there during the day.,Not Suicide post,mom home dark night not day
@gailia I think you'll do whatever you want.,Not Suicide post,
@domselinakyle that sounds so terrible that's how i was when my dad still lived w me but i hope it gets better forâ¦ https://t.co/oAh2tUnbXt,Potential Suicide post ,sound terrible dad lived hope
"@garry1bowie No, just one shortly before the soap awards judging starts....",Not Suicide post,shortly soap award judging start
"@swingie Just had a conversation with @tonimassaar about how 'dependent' we seem to be of internet and mobile phones nowadays,",Not Suicide post,conversation dependent internet mobile phone nowadays
"@jrkgirlnla Oh yes, I was reading that one",Not Suicide post,reading
My life is so miserable and it's not getting better.,Potential Suicide post ,life miserable not
"@LaPrincipessa you SAU! i stood up at 8. then off to offenbach, home. outside. sunshine. love you.",Not Suicide post,sau stood offenbach home sunshine love
She is not tired.,Not Suicide post,not tired
RT @tamicakeyona: Being a single mommy was never part of the plan but I wake up everyday and do my shitðªð¾,Potential Suicide post ,retweet single mommy part plan wake everyday shit
"But what Bezos, de Blasio, and Cuomo have down is walked into our little lego town, kicked all of our lego towers aâ¦ https://t.co/WQqDasF7n4",Potential Suicide post ,bezos de blasio cuomo walked lego town kicked lego tower
I want money,Not Suicide post,money
"@HeavenlyHev how was it, so I know what to expect?",Not Suicide post,expect
